ProdDate,MonthlyOil(m3),AvgDlyOil(m3/d),CalDlyOil(m3/d),CumPrdOil(m3),MonthlyGas(E3m3),AvgDlyGas(E3m3/d),CalDlyGas(E3m3/d),CumPrdGas(E3m3),MonthlyWater(m3),AvgDlyWtr(m3/d),CalDlyWtr(m3/d),CumPrdWtr(m3),MonthlyFluid(m3),AvgDlyFluid(m3/d),CalDlyFluid(m3/d),CumPrdFluid(m3),MonInjGas(E3m3),AvgInjGas(E3m3/d),CalInjGas(E3m3/d),CumInjGas(E3m3),MonInjWtr(m3),AvgInjWtr(m3/d),CalInjWtr(m3/d),CumInjWtr(m3),MonInjSlv(E3m3),AvgInjSlv(E3m3/d),CalInjSlv(E3m3/d),CumInjSlv(E3m3),InjHours(hr),PrdHours(hr),Inj/PrdHours(hr),WCT(%),OCT(%),GOR(m3/m3),WGR(m3/E3m3),WOR(m3/m3),NbrofWells,MonInjSteam(m3),AvgInjSteam(m3/d),CalInjSteam(m3/d),CumInjSteam(m3),CumulativeMonth,MonthsNCG,SOR,percent_change_SOR,is_interpolated,MonInjGas(m3),CumInjGas(m3),CumPrdOilSinceSteamInj(m3),OilRate,SteamRate,SteamRateOverOilRate,scaled_steam,scaled_oil,DeltaMonInjSteam(m3),delta_SOR,cSOR,cN/S,Ncg/O,NCG/S,time,NewOilRate,Prod/Inj
1998-12-01,6360.0,242.51,205.16,299269.9,0.0,0.0,0.0,0.0,9031.6,311.2,291.34,437195.1,15391.6,553.71,496.5,736465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2832,6202,9034,58.68,41.32,0.0,0.0,1.42,30,22337.8,771.78,720.57,379331.0,11,0,3.5122327044025154,-15.25640384249245,False,0.0,0.0,6360.0,1.0254756530151563,7.887641242937853,7.691690407028392,0.0027253558727089048,0.0020475307214117143,,,1.2675213912257797,0.0,0.0,0.0,0.2617040112266557,0.26837109180934055,2.1899717514124295
1999-01-01,6552.0,233.22,223.01,306192.2,0.0,0.0,0.0,0.0,38079.4,1259.46,1228.37,475274.5,45001.7,1492.68,1451.67,781466.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2445,6153,8598,84.62,15.38,0.0,0.0,5.5,30,16094.15,559.68,536.1850000000001,393697.5,12,0,2.0753940164396227,-22.438940002114222,True,0.0,0.0,12912.0,1.0648464163822526,6.582474437627812,6.181618622515861,0.0019635902469696217,0.0021093429696052756,-80618008.8,-1.4368386879628927,1.285785529481156,0.0,0.0,0.0,0.14283654143289773,0.1520989792732563,2.5165644171779142
1999-02-01,6744.0,239.17,240.86,312936.2,0.0,0.0,0.0,0.0,29783.6,1064.9,1063.7,505058.1,36527.6,1304.07,1304.56,817994.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2520,5786,8306,81.54,18.46,0.0,0.0,4.42,30,9850.5,375.87,351.8,403548.0,13,0,1.4606316725978647,-29.621476161735995,False,0.0,0.0,19656.0,1.1655720705150363,3.9089285714285715,3.3536566895441453,0.0012018246212303389,0.002171155217798837,-122725184.39999999,-0.614762343841758,1.2895535895176078,0.0,0.0,0.0,0.18242688515142239,0.2126316822435521,2.296031746031746
1999-03-01,6131.45,214.01,212.41000000000003,319347.4,0.0,0.0,0.0,0.0,29221.4,980.15,942.63,534279.5,35632.6,1194.16,1149.44,853626.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2976,6321,9297,82.01,17.99,0.0,0.0,4.56,30,12256.25,441.06,420.265,417220.9,14,0,2.1326584726728224,-2.524889995918329,True,0.0,0.0,25787.45,0.9700126562252808,4.118363575268817,4.245680248436209,0.0014953416592004814,0.0019739516103458895,62038157.8375,0.6720268000749576,1.3064797145678968,0.0,0.0,0.0,0.1487260410419152,0.14426614212093827,2.123991935483871
1999-04-01,5518.9,206.96,183.96,324866.3,0.0,0.0,0.0,0.0,26038.8,990.45,867.96,560318.3,31557.7,1197.4,1051.92,885184.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2880,6354,9234,82.51,17.49,0.0,0.0,4.72,30,14662.0,488.73,488.73,431882.9,15,0,2.656688832919604,24.571696169899337,False,0.0,0.0,31306.35,0.8685709789109222,5.090972222222222,5.861319737628875,0.0017888586971706237,0.0017767480028929418,75315251.5125,0.5240303602467815,1.329417363389185,0.0,0.0,0.0,0.13010474919335988,0.1130052093678366,2.20625
1999-05-01,6817.7,225.55,219.93,331684.0,0.0,0.0,0.0,0.0,29433.1,958.76,949.45,589751.4,36250.8,1184.32,1169.38,921435.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2976,7021,9997,81.19,18.81,0.0,0.0,4.32,30,16653.9,537.22,537.22,448536.8,16,0,2.4427446206198575,-8.053039921300442,False,0.0,0.0,38124.049999999996,0.9710440108246688,5.596068548387097,5.762940181912641,0.0020318833622159226,0.0021948821068189695,75939295.19500005,-0.21394421229974636,1.352301588258704,0.0,0.0,0.0,0.15424914266535977,0.1497827061600375,2.359206989247312
1999-06-01,6938.9,235.86,231.3,338622.9,0.0,0.0,0.0,0.0,32408.2,1115.78,1080.27,622159.6,39347.1,1351.65,1311.57,960782.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2856,7280,10136,82.36,17.64,0.0,0.0,4.67,30,15722.4,526.96,524.08,464259.2,17,0,2.265834642378475,-7.242262525031807,False,0.0,0.0,45062.95,0.9531456043956044,5.505042016806723,5.775656931552976,0.0019182343459552185,0.002233901088491155,-41976137.92500008,-0.17690997824138233,1.3710212746981967,0.0,0.0,0.0,0.14381337902806127,0.13707509007387558,2.549019607843137
1999-07-01,6879.5,230.53,221.92,345502.4,0.0,0.0,0.0,0.0,27783.2,936.13,896.23,649942.8,34662.7,1166.66,1118.15,995445.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2912,6963,9875,80.15,19.85,0.0,0.0,4.04,30,16626.4,548.12,536.34,480885.6,18,0,2.4168035467693874,6.662838565855722,False,0.0,0.0,51942.45,0.9880080425104122,5.709615384615385,5.778915898404961,0.002028528184602214,0.002214777924206272,46955974.800000094,0.15096890439091215,1.3918444560732428,0.0,0.0,0.0,0.16367330982350134,0.16171054644991778,2.39114010989011
1999-08-01,6571.9,229.3,212.0,352074.3,0.0,0.0,0.0,0.0,25380.3,884.47,818.72,675323.1,31952.2,1113.77,1030.72,1027397.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1898,6973,8871,79.43,20.57,0.0,0.0,3.86,30,11834.1,575.31,381.75,492719.7,19,0,1.8007121228259713,-25.491994364497007,False,0.0,0.0,58514.35,0.9424781299297289,6.235036880927292,6.615577256304267,0.001443836632668591,0.002115749551579504,-280418319.50500005,-0.6160914239434161,1.3994764741419639,0.0,0.0,0.0,0.16046594772787356,0.1512356463319679,3.673867228661749
1999-09-01,5209.7,218.4,173.66,357284.0,0.0,0.0,0.0,0.0,19296.5,807.02,643.22,694619.6,24506.2,1025.42,816.87,1051903.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,381,6595,6976,78.74,21.26,0.0,0.0,3.7,30,7181.0,452.35,239.37,499900.7,20,0,1.3783903103825557,-23.453044331186,False,0.0,0.0,63724.049999999996,0.7899469294920394,18.84776902887139,23.859538312264974,0.0008761283797832662,0.0016772045281978943,-296514377.055,-0.4223218124434156,1.3991690084078772,0.0,0.0,0.0,0.1378471590220988,0.10889194000870782,17.30971128608924
1999-10-01,8132.1,278.45,262.33,365416.1,0.0,0.0,0.0,0.0,33041.4,1131.88,1065.85,727661.0,41173.5,1410.32,1328.18,1093077.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,998,7069,8067,80.25,19.75,0.0,0.0,4.06,30,14464.5,646.73,466.6,514365.2,21,0,1.7786918508134428,29.041232908825965,False,0.0,0.0,71856.15,1.1503890224925732,14.493486973947896,12.598770233867963,0.0017647624215812636,0.0026180384559107237,523364268.525,0.40030154043088717,1.4076150448762386,0.0,0.0,0.0,0.1899979623403687,0.2185715701723175,7.08316633266533
1999-11-01,8851.1,310.06,295.04,374267.2,0.0,0.0,0.0,0.0,27223.5,954.89,907.45,754884.5,36074.6,1264.94,1202.49,1129151.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2412,6725,9137,75.46,24.54,0.0,0.0,3.08,30,17006.2,596.51,566.87,531371.4,22,0,1.9213657059574516,8.02128008169376,False,0.0,0.0,80707.25,1.3161486988847584,7.050663349917081,5.357041613832447,0.0020748662376089935,0.0028495124478439037,205133617.32500005,0.14267385514400877,1.419764809740207,0.0,0.0,0.0,0.25326839007330065,0.33333886206361213,2.7881426202321724
1999-12-01,8938.4,293.45,288.34,383205.6,0.0,0.0,0.0,0.0,27022.4,887.15,871.69,781906.9,35960.8,1180.6,1160.03,1165112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2964,7082,10046,75.14,24.86,0.0,0.0,3.02,30,22663.4,733.48,731.08,554034.8,23,0,2.5355097109102305,31.963930814864817,False,0.0,0.0,89645.65,1.2621293419937871,7.646221322537112,6.058191556230178,0.002765081175655212,0.0028776177044444132,507143371.18,0.6141440049527789,1.4457899362639797,0.0,0.0,0.0,0.24523479933101425,0.3095180359136314,2.3893387314439947
2000-01-01,8723.0,288.56,281.39,391928.6,0.0,0.0,0.0,0.0,29831.3,981.28,962.3,811738.2,38554.3,1269.83,1243.69,1203666.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2952,6915,9867,77.37,22.63,0.0,0.0,3.42,30,23125.2,748.71,745.97,577160.0,24,0,2.6510604149948414,4.557296845971415,False,0.0,0.0,98368.65,1.261460592913955,7.833739837398374,6.210055138783648,0.0028214237582737767,0.002808272088502262,45426642.569999926,0.11555070408461088,1.4726151651091552,0.0,0.0,0.0,0.22995619720120167,0.29008068086566624,2.342479674796748
2000-02-01,8368.6,307.99,288.57,400297.2,0.0,0.0,0.0,0.0,27962.7,1028.9,964.23,839700.9,36331.3,1336.89,1252.8,1239998.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2085,5503,7588,76.97,23.03,0.0,0.0,3.34,30,21954.8,1866.57,757.06,599114.8,25,0,2.623473460315943,-1.0406007544325302,False,0.0,0.0,106737.25,1.5207341450118117,10.52988009592326,6.924208370320687,0.002678627399034348,0.0026941769803783136,-124925277.40000015,-0.02758695467889849,1.4966749704969209,0.0,0.0,0.0,0.2807427645815725,0.42693510806421,2.6393285371702637
2000-03-01,7415.3,257.87,239.2,407712.5,0.0,0.0,0.0,0.0,28007.6,971.75,903.47,867708.5,35422.9,1229.63,1142.67,1275421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2904,5932,8836,79.07,20.93,0.0,0.0,3.78,30,23564.7,778.45,760.15,622679.5,26,0,3.177848502420671,21.13133791862203,False,0.0,0.0,114152.55,1.2500505731625084,8.11456611570248,6.491390260454346,0.0028750455968637703,0.002387272729321429,183774190.24500018,0.554375042104728,1.5272514333016525,0.0,0.0,0.0,0.21546147104289276,0.2693377353716053,2.0426997245179064
2000-04-01,7375.7,251.87,245.86,415088.2,0.0,0.0,0.0,0.0,33989.8,1170.9,1132.99,901698.3,41365.5,1422.77,1378.85,1316786.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2834,5275,8109,82.17,17.83,0.0,0.0,4.61,30,23509.5,794.75,783.65,646189.0,27,0,3.1874262781837657,0.30139183022095395,False,0.0,0.0,121528.25,1.3982369668246446,8.295518701482004,5.932841784551646,0.0028683108403446175,0.002374523953131507,-6708359.400000089,0.00957777576309482,1.556751071218117,0.0,0.0,0.0,0.2128219744256066,0.29757555199449226,1.8613267466478476
2000-05-01,9111.8,310.76,293.93,424200.0,0.0,0.0,0.0,0.0,36143.0,1258.14,1165.9,937841.3,45254.8,1568.9,1459.83,1362041.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2814,5684,8498,79.87,20.13,0.0,0.0,3.97,30,24590.0,834.1,793.23,670779.0,28,0,2.698698391097259,-15.332994222692731,False,0.0,0.0,130640.05,1.6030612244897957,8.738450604122246,5.451102222813368,0.0030001388189486865,0.002933441891094223,141156574.025,-0.48872788708650683,1.5812800565770864,0.0,0.0,0.0,0.2683964642819967,0.4302559646806294,2.0199004975124377
2000-06-01,7534.5,277.07,251.15,431734.5,0.0,0.0,0.0,0.0,29558.3,1085.95,985.28,967399.6,37092.8,1363.02,1236.43,1399134.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2855,5612,8467,79.69,20.31,0.0,0.0,3.92,30,22408.5,753.44,746.95,693187.5,29,0,2.974119052359148,10.205685161797806,False,0.0,0.0,138174.55,1.3425694939415538,7.848861646234676,5.846149254584777,0.0027339817293376024,0.0024256478334082647,-301427780.825,0.27542066126188924,1.605587461738638,0.0,0.0,0.0,0.22650011977171217,0.3040921511796089,1.9656742556917688
